frame_index,video_time,video_time_seconds,timestamp,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w,pkl_filename
0,00:00:00,0.0,1774541419.58576,0.0,-0.33000755310058594,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541419.58576.pkl
1,00:00:00,0.6699674129486084,1774541420.2557275,0.0,-0.15500354766845703,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541420.2557275.pkl
2,00:00:01,1.4261906147003174,1774541421.0119507,0.0,0.04499244689941406,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541421.0119507.pkl
3,00:00:02,2.2139105796813965,1774541421.7996707,0.0,0.24495887756347656,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541421.7996707.pkl
4,00:00:03,3.015667200088501,1774541422.6014273,0.0,0.4699211120605469,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541422.6014273.pkl
5,00:00:03,3.832362413406372,1774541423.4181225,0.0,0.6698875427246094,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541423.4181225.pkl
6,00:00:04,4.625917911529541,1774541424.211678,0.0,0.8698539733886719,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541424.211678.pkl
7,00:00:05,5.3871519565582275,1774541424.972912,0.0,1.0448246002197266,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541424.972912.pkl
8,00:00:06,6.0160253047943115,1774541425.6017854,0.0,1.1947994232177734,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541425.6017854.pkl
9,00:00:06,6.642286777496338,1774541426.228047,0.0,1.2472906112670898,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541426.228047.pkl
10,00:00:07,7.3033225536346436,1774541426.8890827,0.0,1.2472906112670898,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541426.8890827.pkl
11,00:00:08,8.005226135253906,1774541427.5909863,0.0,1.2472906112670898,0.4399999976158142,0.0,0.0,0.0,1.0,frame_1774541427.5909863.pkl
