frame_index,video_time,video_time_seconds,timestamp,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w,pkl_filename
0,00:00:00,0.0,1767628966.2060788,0.0,0.0,0.4399999976158142,0.0,0.0,0.005000114440917969,0.9999874830245972,frame_1767628966.2060788.pkl
1,00:00:00,0.7726726531982422,1767628966.9787514,0.0,0.0,0.4399999976158142,0.0,0.0,0.04498597979545593,0.99898761510849,frame_1767628966.9787514.pkl
2,00:00:01,1.6178696155548096,1767628967.8239484,0.0,0.0,0.4399999976158142,0.0,0.0,0.08490081876516342,0.9963894486427307,frame_1767628967.8239484.pkl
3,00:00:02,2.3682641983032227,1767628968.574343,0.0,0.0,0.4399999976158142,0.0,0.0,0.1246819794178009,0.9921967387199402,frame_1767628968.574343.pkl
4,00:00:03,3.1584854125976562,1767628969.3645642,0.0,0.0,0.4399999976158142,0.0,0.0,0.1642623245716095,0.9864166975021362,frame_1767628969.3645642.pkl
5,00:00:03,3.9417476654052734,1767628970.1478264,0.0,0.0,0.4399999976158142,0.0,0.0,0.20357990264892578,0.9790583252906799,frame_1767628970.1478264.pkl
6,00:00:04,4.791438341140747,1767628970.997517,0.0,0.0,0.4399999976158142,0.0,0.0,0.2386896014213562,0.9710959196090698,frame_1767628970.997517.pkl
7,00:00:05,5.727471590042114,1767628971.9335504,0.0,0.0,0.4399999976158142,0.0,0.0,0.29075825214385986,0.9567965269088745,frame_1767628971.9335504.pkl
8,00:00:06,6.529234170913696,1767628972.735313,0.0,0.0,0.4399999976158142,0.0,0.0,0.32878831028938293,0.9444036483764648,frame_1767628972.735313.pkl
9,00:00:07,7.317845821380615,1767628973.5239246,0.0,0.0,0.4399999976158142,0.0,0.0,0.3662911355495453,0.9305002689361572,frame_1767628973.5239246.pkl
10,00:00:08,8.322340965270996,1767628974.5284197,0.0,0.0,0.4399999976158142,0.0,0.0,0.41233888268470764,0.9110305309295654,frame_1767628974.5284197.pkl
11,00:00:09,9.102742910385132,1767628975.3088217,0.0,0.0,0.4399999976158142,0.0,0.0,0.4484425187110901,0.8938116431236267,frame_1767628975.3088217.pkl
12,00:00:09,9.836195945739746,1767628976.0422747,0.0,0.0,0.4399999976158142,0.0,0.0,0.47944605350494385,0.8775713443756104,frame_1767628976.0422747.pkl
13,00:00:10,10.836528778076172,1767628977.0426075,0.0,0.0,0.4399999976158142,0.0,0.0,0.5210018157958984,0.8535555601119995,frame_1767628977.0426075.pkl
14,00:00:11,11.567472219467163,1767628977.773551,0.0,0.0,0.4399999976158142,0.0,0.0,0.5563810467720032,0.8309272527694702,frame_1767628977.773551.pkl
15,00:00:12,12.248440742492676,1767628978.4545195,0.0,0.0,0.4399999976158142,0.0,0.0,0.5851171016693115,0.8109488487243652,frame_1767628978.4545195.pkl
16,00:00:13,13.055344104766846,1767628979.2614229,0.0,0.0,0.4399999976158142,0.0,0.0,0.6131387948989868,0.7899751663208008,frame_1767628979.2614229.pkl
17,00:00:13,13.81393837928772,1767628980.0200171,0.0,0.0,0.4399999976158142,0.0,0.0,0.6404101252555847,0.7680330872535706,frame_1767628980.0200171.pkl
18,00:00:14,14.580320358276367,1767628980.7863991,0.0,0.0,0.4399999976158142,0.0,0.0,0.6706162691116333,0.7418044209480286,frame_1767628980.7863991.pkl
19,00:00:15,15.46036982536316,1767628981.6664486,0.0,0.0,0.4399999976158142,0.0,0.0,0.7033210396766663,0.7108723521232605,frame_1767628981.6664486.pkl
20,00:00:16,16.17734956741333,1767628982.3834283,0.0,0.0,0.4399999976158142,0.0,0.0,0.7276223301887512,0.6859778761863708,frame_1767628982.3834283.pkl
21,00:00:16,16.90919327735901,1767628983.115272,0.0,0.0,0.4399999976158142,0.0,0.0,0.7511703372001648,0.6601084470748901,frame_1767628983.115272.pkl
22,00:00:17,17.73673415184021,1767628983.942813,0.0,0.0,0.4399999976158142,0.0,0.0,0.7769652605056763,0.6295435428619385,frame_1767628983.942813.pkl
23,00:00:18,18.413777351379395,1767628984.619856,0.0,0.0,0.4399999976158142,0.0,0.0,0.7985170483589172,0.6019719839096069,frame_1767628984.619856.pkl
24,00:00:19,19.14549160003662,1767628985.3515704,0.0,0.0,0.4399999976158142,0.0,0.0,0.817367434501648,0.5761170387268066,frame_1767628985.3515704.pkl
25,00:00:20,20.017375946044922,1767628986.2234547,0.0,0.0,0.4399999976158142,0.0,0.0,0.8440665006637573,0.5362383127212524,frame_1767628986.2234547.pkl
26,00:00:20,20.857999086380005,1767628987.0640779,0.0,0.0,0.4399999976158142,0.0,0.0,0.8648337125778198,0.5020584464073181,frame_1767628987.0640779.pkl
27,00:00:21,21.620218753814697,1767628987.8262975,0.0,0.0,0.4399999976158142,0.0,0.0,0.8818721771240234,0.4714885354042053,frame_1767628987.8262975.pkl
28,00:00:22,22.36026382446289,1767628988.5663426,0.0,0.0,0.4399999976158142,0.0,0.0,0.8978300094604492,0.4403421878814697,frame_1767628988.5663426.pkl
29,00:00:23,23.1067111492157,1767628989.31279,0.0,0.0,0.4399999976158142,0.0,0.0,0.9147201776504517,0.4040878713130951,frame_1767628989.31279.pkl
30,00:00:23,23.80142831802368,1767628990.007507,0.0,0.0,0.4399999976158142,0.0,0.0,0.9282994270324707,0.3718334436416626,frame_1767628990.007507.pkl
31,00:00:24,24.441426038742065,1767628990.6475048,0.0,0.0,0.4399999976158142,0.0,0.0,0.9407422542572021,0.3391224145889282,frame_1767628990.6475048.pkl
32,00:00:25,25.09186625480652,1767628991.297945,0.0,0.0,0.4399999976158142,0.0,0.0,0.9520326256752014,0.30599674582481384,frame_1767628991.297945.pkl
33,00:00:25,25.82726526260376,1767628992.033344,0.0,0.0,0.4399999976158142,0.0,0.0,0.9621568918228149,0.27249616384506226,frame_1767628992.033344.pkl
34,00:00:26,26.52816915512085,1767628992.734248,0.0,0.0,0.4399999976158142,0.0,0.0,0.9700192213058472,0.24302825331687927,frame_1767628992.734248.pkl
35,00:00:27,27.25222635269165,1767628993.4583051,0.0,0.0,0.4399999976158142,0.0,0.0,0.9789619445800781,0.20404298603534698,frame_1767628993.4583051.pkl
36,00:00:28,28.080974817276,1767628994.2870536,0.0,0.0,0.4399999976158142,0.0,0.0,0.987069845199585,0.16029077768325806,frame_1767628994.2870536.pkl
37,00:00:28,28.86141610145569,1767628995.0674949,0.0,0.0,0.4399999976158142,0.0,0.0,0.9926902055740356,0.12068981677293777,frame_1767628995.0674949.pkl
38,00:00:29,29.966428518295288,1767628996.1725073,0.0,0.0,0.4399999976158142,0.0,0.0,0.99782395362854,0.06593538075685501,frame_1767628996.1725073.pkl
39,00:00:30,30.791285037994385,1767628996.9973638,0.0,0.0,0.4399999976158142,0.0,0.0,0.9996625185012817,0.025978386402130127,frame_1767628996.9973638.pkl
40,00:00:31,31.676519870758057,1767628997.8825986,0.0,0.0,0.4399999976158142,0.0,0.0,0.9997115135192871,-0.024018317461013794,frame_1767628997.8825986.pkl
41,00:00:32,32.344202518463135,1767628998.5502813,0.0,0.0,0.4399999976158142,0.0,0.0,0.9982587099075317,-0.05898812413215637,frame_1767628998.5502813.pkl
42,00:00:33,33.077359199523926,1767628999.283438,0.0,0.0,0.4399999976158142,0.0,0.0,0.9955830574035645,-0.09388481825590134,frame_1767628999.283438.pkl
43,00:00:33,33.82923102378845,1767629000.0353098,0.0,0.0,0.4399999976158142,0.0,0.0,0.9910321831703186,-0.13362374901771545,frame_1767629000.0353098.pkl
44,00:00:34,34.568686962127686,1767629000.7747657,0.0,0.0,0.4399999976158142,0.0,0.0,0.9848958253860474,-0.17314821481704712,frame_1767629000.7747657.pkl
45,00:00:35,35.21522402763367,1767629001.4213028,0.0,0.0,0.4399999976158142,0.0,0.0,0.9782333374023438,-0.20750758051872253,frame_1767629001.4213028.pkl
46,00:00:35,35.87943243980408,1767629002.0855112,0.0,0.0,0.4399999976158142,0.0,0.0,0.9703738689422607,-0.24160806834697723,frame_1767629002.0855112.pkl
47,00:00:36,36.552233934402466,1767629002.7583127,0.0,0.0,0.4399999976158142,0.0,0.0,0.9613257646560669,-0.27541375160217285,frame_1767629002.7583127.pkl
48,00:00:37,37.31475639343262,1767629003.5208352,0.0,0.0,0.4399999976158142,0.0,0.0,0.9495442509651184,-0.313632994890213,frame_1767629003.5208352.pkl
49,00:00:38,38.022876024246216,1767629004.2289548,0.0,0.0,0.4399999976158142,0.0,0.0,0.9379891157150269,-0.3466647267341614,frame_1767629004.2289548.pkl
50,00:00:38,38.773916482925415,1767629004.9799953,0.0,0.0,0.4399999976158142,0.0,0.0,0.923377275466919,-0.3838938772678375,frame_1767629004.9799953.pkl
51,00:00:39,39.497671604156494,1767629005.7037504,0.0,0.0,0.4399999976158142,0.0,0.0,0.909379243850708,-0.4159679710865021,frame_1767629005.7037504.pkl
52,00:00:40,40.140305519104004,1767629006.3463843,0.0,0.0,0.4399999976158142,0.0,0.0,0.8982588648796082,-0.439466655254364,frame_1767629006.3463843.pkl
53,00:00:40,40.92354726791382,1767629007.129626,0.0,0.0,0.4399999976158142,0.0,0.0,0.8780606985092163,-0.47854921221733093,frame_1767629007.129626.pkl
54,00:00:41,41.56497263908386,1767629007.7710514,0.0,0.0,0.4399999976158142,0.0,0.0,-0.8633121252059937,0.5046701431274414,frame_1767629007.7710514.pkl
55,00:00:42,42.20917010307312,1767629008.4152489,0.0,0.0,0.4399999976158142,0.0,0.0,-0.8451253175735474,0.5345683693885803,frame_1767629008.4152489.pkl
56,00:00:42,42.97598719596863,1767629009.182066,0.0,0.0,0.4399999976158142,0.0,0.0,-0.824773907661438,0.5654627084732056,frame_1767629009.182066.pkl
57,00:00:43,43.738417625427246,1767629009.9444964,0.0,0.0,0.4399999976158142,0.0,0.0,-0.8026975393295288,0.5963862538337708,frame_1767629009.9444964.pkl
58,00:00:44,44.46104836463928,1767629010.6671271,0.0,0.0,0.4399999976158142,0.0,0.0,-0.7813383936882019,0.6241076588630676,frame_1767629010.6671271.pkl
59,00:00:45,45.089319467544556,1767629011.2953982,0.0,0.0,0.4399999976158142,0.0,0.0,-0.7590221762657166,0.6510647535324097,frame_1767629011.2953982.pkl
60,00:00:45,45.743046045303345,1767629011.9491248,0.0,0.0,0.4399999976158142,0.0,0.0,-0.739153265953064,0.6735373735427856,frame_1767629011.9491248.pkl
61,00:00:46,46.49462270736694,1767629012.7007015,0.0,0.0,0.4399999976158142,0.0,0.0,-0.7151331901550293,0.6989881992340088,frame_1767629012.7007015.pkl
