frame_index,video_time,video_time_seconds,timestamp,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,rotation_w,pkl_filename
0,00:00:00,0.0,1767597036.566249,0.0,0.0,0.4399999976158142,0.0,0.0,0.007969199679791927,0.9999682307243347,frame_1767597036.566249.pkl
1,00:00:00,0.7830629348754883,1767597037.3493118,0.0,0.0,0.4399999976158142,0.0,0.0,0.04792357236146927,0.9988510012626648,frame_1767597037.3493118.pkl
2,00:00:01,1.4913251399993896,1767597038.057574,0.0,0.0,0.4399999976158142,0.0,0.0,0.0878196433186531,0.9961363673210144,frame_1767597038.057574.pkl
3,00:00:02,2.284571647644043,1767597038.8508205,0.0,0.0,0.4399999976158142,0.0,0.0,0.1325392872095108,0.9911777377128601,frame_1767597038.8508205.pkl
4,00:00:03,3.100705862045288,1767597039.6669548,0.0,0.0,0.4399999976158142,0.0,0.0,0.17206744849681854,0.9850851893424988,frame_1767597039.6669548.pkl
5,00:00:04,4.037817716598511,1767597040.6040666,0.0,0.0,0.4399999976158142,0.0,0.0,0.21620354056358337,0.9763482809066772,frame_1767597040.6040666.pkl
6,00:00:04,4.776446580886841,1767597041.3426955,0.0,0.0,0.4399999976158142,0.0,0.0,0.25507134199142456,0.9669222235679626,frame_1767597041.3426955.pkl
7,00:00:05,5.4496071338653564,1767597042.015856,0.0,0.0,0.4399999976158142,0.0,0.0,0.28874996304512024,0.9574045538902283,frame_1767597042.015856.pkl
8,00:00:06,6.2060840129852295,1767597042.772333,0.0,0.0,0.4399999976158142,0.0,0.0,0.3315238952636719,0.9434468150138855,frame_1767597042.772333.pkl
9,00:00:06,6.891398191452026,1767597043.457647,0.0,0.0,0.4399999976158142,0.0,0.0,0.35967278480529785,0.9330785274505615,frame_1767597043.457647.pkl
10,00:00:07,7.659778833389282,1767597044.2260277,0.0,0.0,0.4399999976158142,0.0,0.0,0.396696537733078,0.9179497957229614,frame_1767597044.2260277.pkl
11,00:00:08,8.420591831207275,1767597044.9868407,0.0,0.0,0.4399999976158142,0.0,0.0,0.43308690190315247,0.9013521671295166,frame_1767597044.9868407.pkl
12,00:00:09,9.225584506988525,1767597045.7918334,0.0,0.0,0.4399999976158142,0.0,0.0,0.4731931984424591,0.8809586763381958,frame_1767597045.7918334.pkl
13,00:00:09,9.89118480682373,1767597046.4574337,0.0,0.0,0.4399999976158142,0.0,0.0,0.5037299990653992,0.8638611435890198,frame_1767597046.4574337.pkl
